Gene1,Gene2,Read counts,In iPRINT_A,In iPRINT_B,In iPRINT_C,Read count_iPRINT_A,Read count_iPRINT_B,Read count_iPRINT_C
MYBPHL,GATD1,93,1,0,0,93,0,0
OPRM1,ENAH,85,0,1,0,0,84,0
ME2,CD24,47,1,1,0,17,30,0
POC1B-GALNT4,C16orf72,15,1,0,0,15,0,0
ZKSCAN1,SLC12A6,15,1,1,0,1,14,0
TOR1AIP2,NSL1,38,0,0,1,0,0,38
ZDHHC15,KCNJ5,36,1,0,0,36,0,0
ZNF667,SETMAR,34,0,1,0,0,34,0
ELMOD2,CD70,415,1,1,1,221,89,105
UEVLD,SIX4,73,1,1,1,1,70,2
C19orf47,ATL3,43,1,0,1,33,0,10
KREMEN1,DCAKD,20,1,1,0,19,1,0
LIN54,HJURP,14,0,0,1,0,0,14
TRAF3IP1,FRS3,13,1,0,0,13,0,0
PHACTR4,ATP8B2,21,1,1,0,20,1,0
GDAP2,AGK,19,0,1,0,0,19,0
OBSCN,DCAF16,20,1,0,0,20,0,0
TYW5,CCDC122,16,1,1,1,9,3,4
TRIM5,ENAH,19,0,1,1,0,18,1
TMCO3,NME6,17,0,1,1,0,2,15
SLC35F6,RPL26,16,1,0,0,16,0,0
TBXA2R,FAM153A,23,1,0,0,23,0,0
GLIPR1L2,C12orf50,149,1,1,1,90,41,18
MAP2K6,DGKH,51,1,0,0,51,0,0
NOM1,CNOT1,16,1,1,0,1,15,0
RAD54L2,KIAA0355,15,1,0,0,15,0,0
SKA1,ACER3,84,1,1,1,58,14,12
XRN1,KLRD1,21,1,1,0,4,17,0
SPC24,SLC24A4,48,0,0,1,0,0,48
SLC6A4,ATXN3,28,1,1,0,5,23,0
ZNF850,PLAT,24,0,0,1,0,0,24
VSTM4,RNF165,13,1,0,0,13,0,0
RPS3A,KIAA1324,21,0,1,0,0,21,0
NR6A1,L1TD1,28,1,1,0,27,1,0
ZNF837,AKAP9,58,0,0,1,0,0,58
PIK3CD,DCAF7,18,1,0,0,18,0,0
NPTXR,FBXO44,13,1,0,0,13,0,0
ZBTB37,TRIML2,20,1,0,0,20,0,0
MKNK1,CTSB,40,1,0,0,40,0,0
SLC43A2,NMNAT1,14,1,0,1,12,0,2
RAB8B,HDAC7,48,1,0,0,48,0,0
TCP11L1,FITM2,25,1,1,1,21,3,1
RNF41,FCAR,77,0,1,1,0,1,76
CHUK,C1orf174,15,1,0,0,15,0,0
SELENON,PLPP4,13,1,0,0,13,0,0
EXOSC2,DTWD2,55,1,0,0,55,0,0
TBXA2R,DHPS,14,0,0,1,0,0,14
PIGX,LARS,33,0,1,0,0,33,0
KPNA6,CD300LG,38,1,0,0,38,0,0
TRIP11,PNPO,28,0,1,1,0,9,19
ECT2,BMP7,26,1,1,1,16,8,2
PKD1L1,AMER2,28,1,0,0,28,0,0
ZNF548,TMEM131L,35,0,0,1,0,0,35
SRPRA,NLRC3,18,1,0,0,18,0,0
PLEKHB2,DDX51,21,1,1,0,20,1,0
SRSF10,ACTR8,13,1,0,0,13,0,0
SGSM1,APOL1,26,1,0,0,26,0,0
ZNF570,LOC107984751,19,0,0,1,0,0,19
F2R,ECT2,14,0,1,0,0,14,0
METTL22,DPP9,51,0,1,0,0,51,0
TFDP2,SPATA5,19,0,1,1,0,16,2
RBMS2,NEK4,106,0,0,1,0,0,104
HSD17B13,AK3,26,1,1,1,5,3,18
TNFAIP8L2-SCNM1,MIGA1,24,1,0,1,23,0,1
CENPM,ALPK1,14,1,1,0,13,1,0
SCAMP4,PGAM5,21,1,0,0,21,0,0
PPP1R12B,PANK2,77,1,0,0,77,0,0
RHD,MIGA1,41,1,0,0,41,0,0
PLEKHB2,CYP4V2,116,0,1,0,0,116,0
NDUFC2,CDKL1,29,0,0,1,0,0,29
TTPAL,NUGGC,17,1,0,0,17,0,0
SLC2A11,ARHGEF9,15,1,0,0,15,0,0
P4HA2,APPL2,13,1,1,0,1,12,0
ZNF708,VWA7,16,1,0,0,16,0,0
PLEKHA5,ARMC9,15,1,1,1,2,1,12
PPP1R12B,NMNAT1,19,1,1,1,13,3,3
TUBGCP4,HUNK,21,0,0,1,0,0,21
MNT,MIGA1,32,1,0,1,21,0,11
NXPE3,MFSD11,15,0,1,0,0,15,0
TCP11L1,NINL,24,1,1,0,23,1,0
ZNF674,SCAI,31,1,0,0,31,0,0
CYBC1,CFLAR,52,0,0,1,0,0,50
LOC112268350,GGTLC2,17,1,0,1,10,0,7
TPM1,DDA1,16,0,1,0,0,16,0
PNPT1,PHC3,48,1,1,0,46,2,0
SLC20A2,MXRA7,21,1,1,0,2,19,0
BPNT1,ARL10,21,0,1,0,0,21,0
PURB,DENND6A,13,0,0,1,0,0,13
ZNF791,VSIG1,25,0,1,0,0,25,0
PAFAH1B2,ME2,34,1,0,1,14,0,20
ZNF793,SLC26A5,21,1,0,1,20,0,1
ZNF133,GAS2L3,24,1,1,0,1,23,0
ZSCAN22,UBN2,27,1,0,1,8,0,19
SLC35F6,IRF1,28,1,0,1,22,0,6
YES1,C1orf162,15,1,0,0,15,0,0
NRG4,DPY19L4,46,0,1,0,0,46,0
TATDN3,BRIP1,15,1,1,0,13,2,0
PPIH,BSDC1,15,1,0,0,15,0,0
ZNF329,CYB561D1,150,1,0,0,150,0,0
UBIAD1,CLCN5,17,1,0,0,17,0,0
ZNF429,HNRNPUL1,30,1,0,0,30,0,0
TMEM170A,LOC107984974,41,1,0,1,1,0,40
SV2B,KIF3A,31,0,1,1,0,2,29
EPHA6,CCDC157,35,1,1,0,20,15,0
SH3BP2,GATD1,35,1,1,0,34,1,0
SLC43A2,DFFA,22,0,1,1,0,7,14
ZNF483,CAMK1D,27,1,1,1,5,13,9
PIK3C2B,NCOA6,15,1,1,0,14,1,0
EIF2AK2,ARL14EP,15,1,1,1,10,1,4
ZSCAN29,SLFN13,13,0,1,1,0,1,12
SOD2,C21orf62,22,0,0,1,0,0,22
ZMAT3,SRR,28,0,1,0,0,28,0
PAK1,CNEP1R1,28,1,0,1,21,0,7
ZNF829,ZNF713,27,1,1,0,1,26,0
NEU1,IBA57,26,1,1,0,11,15,0
APOBEC3A,AK3,39,1,0,1,38,0,1
NXPE2,AKR1B15,21,1,1,0,14,7,0
SPAST,METTL22,23,1,1,1,14,2,7
RPL6,AFF3,32,1,0,0,32,0,0
SPTBN2,SCAI,17,1,0,1,16,0,1
TINAGL1,PATJ,44,0,0,1,0,0,44
SLC25A34,MTRF1,31,0,1,0,0,31,0
SENP8,ACTR3C,38,1,1,1,33,1,4
PLEKHB2,PIGX,19,0,1,1,0,7,12
OTUD3,GSTCD,44,1,0,0,44,0,0
ZNF589,SEPT14,17,0,1,0,0,17,0
RAD9B,CTDSP2,14,1,0,0,14,0,0
RIPPLY3,PIPOX,31,0,1,0,0,31,0
SLC4A11,ITPA,70,1,1,0,51,19,0
ZBTB43,TM7SF3,53,0,1,0,0,53,0
GREB1,GEMIN8,17,1,1,1,10,5,2
PCDH11X,LRTOMT,13,1,0,1,3,0,10
ZNF829,ABHD18,14,1,0,0,14,0,0
TES,MCF2L2,14,0,1,0,0,14,0
XRCC2,MCTP2,27,1,1,1,24,1,2
TPGS2,FBXW8,58,1,0,0,58,0,0
TMPRSS5,OPRM1,18,1,0,0,18,0,0
ZNF527,KIAA0355,17,1,0,0,17,0,0
TMPO,GTPBP10,13,1,0,0,13,0,0
PIGW,KIF18B,19,1,0,0,19,0,0
ZNF234,TLR10,48,0,0,1,0,0,48
RAB3B,DGKH,29,0,1,1,0,3,26
URB1,ACER3,65,0,0,1,0,0,65
LGI1,CEP63,34,1,1,0,33,1,0
TSPAN6,MPPE1,46,1,0,0,46,0,0
PMEL,P2RY2,28,1,0,0,28,0,0
LRRC28,LETM1,46,0,1,1,0,3,43
ZNF793,RBMS2,30,1,1,0,20,8,0
KLLN,FAM71F2,13,0,1,0,0,13,0
ZNF677,DBF4B,23,0,1,0,0,23,0
ZNF451,RUNX1T1,13,0,1,0,0,13,0
TTPAL,SSR3,42,0,1,1,0,6,36
PFAS,C19orf47,14,1,1,0,13,1,0
RBBP5,EVI5,21,0,0,1,0,0,21
ZNF641,MARVELD2,24,0,1,0,0,24,0
P4HA2,C19orf47,50,0,1,0,0,50,0
S100B,NLRP12,20,1,0,0,20,0,0
LOC102723623,HIP1,33,1,0,1,3,0,30
EPB41,CHP1,36,1,0,1,29,0,5
DPH5,CPSF2,30,1,0,1,1,0,29
UGGT1,NMNAT1,25,1,1,1,4,19,2
ZNF662,GNB4,23,0,1,0,0,23,0
ORAI2,NOX4,49,1,0,0,49,0,0
ZC3H7B,ARMC9,35,0,1,0,0,35,0
SYTL4,FAXC,33,0,0,1,0,0,33
NRG4,LOC100128108,20,0,0,1,0,0,20
NPIPB4,L2HGDH,19,0,0,1,0,0,19
PIGR,ORAI2,14,1,1,1,5,1,8
VMA21,RBBP5,20,1,0,1,11,0,9
HP1BP3,EPHA6,143,1,0,0,143,0,0
SIRT3,SERPINB9,28,1,1,1,15,1,12
COX15,CFAP97,22,1,0,0,22,0,0
ZSCAN2,NEK4,31,1,1,0,4,27,0
RAB27A,EED,16,0,1,0,0,16,0
PGPEP1,FAM153A,159,1,1,1,1,38,120
GPR135,ATRNL1,24,1,1,0,23,1,0
ZSCAN2,XIAP,13,0,1,1,0,2,11
RABL2B,ERCC6L2,41,0,0,1,0,0,41
PLEKHH1,ABCB5,22,1,0,1,1,0,21
SPRYD4,PLEKHA7,42,1,0,0,42,0,0
SLC12A6,NME6,78,1,1,0,76,2,0
NLRP12,CLCN5,25,1,0,1,3,0,22
TPM1,NCAM2,24,1,1,1,20,1,3
RORA,ATF7IP,13,1,0,0,13,0,0
STYX,ENAH,49,1,1,1,44,1,4
KIAA1324,ARHGAP1,29,1,0,0,29,0,0
TOP3A,FKBP9,27,1,1,0,2,25,0
PGAM5,PACS2,22,1,0,1,3,0,19
CCDC68,ARMC10,93,0,0,1,0,0,93
RND2,PRKAR2A,28,0,1,0,0,28,0
WNK3,PARVG,34,1,0,0,34,0,0
UTP23,FZD3,26,1,0,0,26,0,0
IRF1,DFFA,24,1,1,1,6,4,14
TRIM56,SLC9A7,27,0,0,1,0,0,27
ZNFX1,RFC2,45,1,0,0,45,0,0
NWD1,CRX,14,1,0,1,2,0,12
RHBDD3,PEAK1,47,1,0,1,2,0,45
NFYC,ACTR3C,13,0,1,0,0,13,0
ZC3H12B,SPDYE1,19,1,1,0,18,1,0
PARP15,LPP,20088,1,1,1,9641,4339,6108
RNF41,LRRC28,37,1,1,1,3,33,1
SENP7,PARP15,41,1,0,0,41,0,0
SLC25A45,MMS22L,29,1,0,0,29,0,0
PNPO,KIAA1324,54,1,0,1,25,0,29
ZNF415,PLEKHA5,24,0,1,0,0,24,0
ZNF264,EXPH5,26,1,0,0,25,0,0
ZFP28,DGKH,67,1,0,0,67,0,0
ZNF485,DSG3,19,1,1,1,5,13,1
VPS26C,SETMAR,14,0,1,0,0,14,0
ANO2,AGK,16,0,1,0,0,16,0
SPTSSA,C19orf47,15,1,0,1,1,0,14
VSTM4,KCMF1,22,1,0,0,22,0,0
ACER1,ABHD11,15,0,1,0,0,15,0
VHL,C1QTNF6,50,0,1,0,0,50,0
RBBP5,RASSF2,41,0,0,1,0,0,41
PDZD8,PCDH11Y,19,0,1,1,0,13,6
WDR31,APOBEC3F,26,0,0,1,0,0,26
FAM231BP,DZIP3,23,1,1,0,4,19,0
PGM2L1,ADAT1,14,1,1,0,11,3,0
RAB43,NR2C1,19,0,1,0,0,19,0
ZNF333,SENP5,28,0,0,1,0,0,28
SMG1,AS3MT,32,1,0,1,27,0,5
KCNH4,CIITA,15,0,0,1,0,0,15
METTL6,MCM8,14,1,0,0,14,0,0
PKD1,PDE6A,64,1,0,0,64,0,0
FDFT1,AP5Z1,51,1,1,1,33,16,2
RTCA,MBOAT2,18,0,1,0,0,18,0
ZFP64,HUNK,13,0,1,0,0,13,0
ZSCAN22,TBC1D24,25,1,0,1,10,0,15
PHACTR4,JCAD,18,1,0,0,18,0,0
ZNF101,ZMAT3,50,1,0,1,49,0,1
MTAP,MCFD2,101,1,1,1,78,16,7
PRND,BTN3A2,40,0,1,0,0,40,0
ZNF75A,TRIOBP,49,1,1,0,1,48,0
NANOG,GNAL,21,1,0,1,1,0,20
SUGP2,PIGR,13,1,1,0,10,3,0
FCAR,ATRNL1,30,1,1,0,23,7,0
TOR1AIP2,ARPIN-AP3S2,22,1,0,0,22,0,0
PQLC2,PAQR7,13,0,1,0,0,13,0
ENTHD1,CCDC144A,32,1,1,1,14,16,2
SPPL2A,NRG4,28,1,1,0,9,19,0
HTD2,COA1,27,0,0,1,0,0,27
ZKSCAN7,TCP11L1,25,0,0,1,0,0,25
PPP1R12B,PCYT1B,39,1,0,0,39,0,0
ZNF320,APOBEC3A,13,1,1,1,10,2,1
TMC7,MMS19,13,1,0,1,1,0,12
PNPLA4,FAXC,20,0,0,1,0,0,20
TMEM120B,EPB41,38,0,1,1,0,16,19
SLC9A7,RASGRP3,28,1,1,1,6,7,15
SLC50A1,LYPD4,37,1,0,0,37,0,0
SKA1,PPFIBP1,34,0,0,1,0,0,34
ZNF544,DCAF16,24,0,0,1,0,0,24
DUSP18,ACTR3C,13,1,1,0,2,11,0
IRAK1,AAK1,14,0,1,0,0,14,0
ZCCHC7,PRKAG2,23,0,0,1,0,0,23
IL17RD,GPC5,16,0,0,1,0,0,16
TTC28,IVD,29,0,1,0,0,29,0
FKBP14,ATL3,37,1,0,0,37,0,0
ZBTB43,FAM124A,22,1,0,0,22,0,0
ZNF141,RUBCN,44,1,1,1,2,31,11
ATCAY,ACER3,54,0,1,0,0,54,0
JAKMIP2,DGKB,104,1,1,1,1,102,1
NUDT18,MPPE1,18,0,0,1,0,0,18
SPG21,RNF170,31,1,0,0,31,0,0
ZNF426,ZFP28,15,0,0,1,0,0,13
PLBD2,LOC107984751,19,0,1,0,0,19,0
GALNT5,CHDH,35,0,1,0,0,35,0
RNF41,G2E3,23,1,0,0,23,0,0
VPS33A,HRK,16,0,0,1,0,0,16
WTAP,RHBDL2,19,1,0,0,19,0,0
MOB4,ENTPD1,54,0,0,1,0,0,54
PLCXD1,PHACTR4,21,1,1,0,20,1,0
ZNF454,GPATCH8,16,1,1,0,14,2,0
HEATR5A,EXD1,14,1,1,1,1,1,12
SCO1,PDP2,19,1,0,0,19,0,0
SPAG16,NEK11,81,1,1,1,20,57,4
XIAP,CNBP,29,1,1,0,28,1,0
WDR73,AP4S1,17,1,0,0,17,0,0
DNAAF4,ADRA1A,15,1,0,0,15,0,0
ZDHHC20,SP2,98,1,0,0,98,0,0
SSBP3,PDE12,71,1,0,0,71,0,0
SMG1,CD200,16,1,1,1,11,4,1
TSHZ2,TMEM120B,18,0,0,1,0,0,18
ZHX3,TAF8,19,1,1,0,3,16,0
ZCCHC4,SNTB2,18,0,0,1,0,0,18
CEP126,ACAT1,22,0,0,1,0,0,22
GP2,ANKRD26,15,1,0,0,15,0,0
NRIP3,FAM161A,27,0,0,1,0,0,27
NMNAT1,APAF1,20,0,0,1,0,0,20
TM7SF3,NARF,59,1,0,0,59,0,0
TFDP2,RUBCN,62,0,0,1,0,0,62
ZNF554,KIF1C,19,1,0,0,19,0,0
TRPM7,MTSS1,14,0,1,1,0,12,2
SYNPO2L,NUBP2,13,0,0,1,0,0,13
TERF1,ARGFX,18,0,1,1,0,16,2
SPDYE2,PLEKHB2,26,0,0,1,0,0,26
POLR1A,APC2,20,1,1,0,19,1,0
KIAA1324,DGKH,17,1,1,0,14,2,0
QTRT2,ACSBG2,21,0,0,1,0,0,21
TPM1,STARD5,94,1,0,0,94,0,0
NUBPL,ALDH3B1,49,1,0,0,49,0,0
TOP3A,GPR82,21,1,1,1,18,1,2
ZNF585B,RUNDC1,27,0,1,0,0,27,0
SERPINB9,SERPINB1,14,1,1,0,2,12,0
SFMBT2,GATD1,56,1,1,1,6,12,38
SLC28A1,FUT6,36,1,1,0,1,35,0
TSR2,GNAL,24,1,0,1,2,0,22
ZNF37A,FGFR2,15,0,1,0,0,15,0
SLFN13,CSF2RA,15,0,0,1,0,0,15
TOR1AIP2,NRIP3,22,1,0,1,5,0,17
ZSCAN22,RPS6KA6,14,1,0,0,14,0,0
ZNF793,LONRF3,20,1,0,1,9,0,11
IL10,CABP4,45,1,1,0,44,1,0
TRPM6,EPB41,18,1,0,0,18,0,0
ZNF490,SUGP2,13,1,1,1,10,2,1
RRP7A,PTPN3,43,1,0,0,43,0,0
NICN1,EXD1,15,1,0,0,15,0,0
ZNF154,ENTPD1,50,1,0,1,49,0,1
SGO1,GAS2L3,18,1,0,0,18,0,0
ZNF407,HPSE,50,1,0,1,30,0,20
CXorf36,CCER2,25,1,0,0,25,0,0
ZNF519,HM13,25,0,0,1,0,0,25
ZNF347,GSTO2,22,0,0,1,0,0,21
ZSCAN22,ZNF543,21,1,0,1,20,0,1
UBAP1L,SERPINB10,29,1,0,0,29,0,0
ZNF471,AMN1,61,1,1,1,14,38,9
MGAT4A,FAM71F2,21,0,1,0,0,21,0
MKLN1,INPP5B,17,1,0,0,17,0,0
GATD1,CTRC,27,1,1,0,2,25,0
LNX2,ACSL6,27,1,0,0,27,0,0
KATNAL2,IFNLR1,18,0,0,1,0,0,18
LOC105379545,LOC101060017,43,1,1,1,26,8,9
OSBPL2,EXOSC2,18,1,1,0,14,4,0
EMP2,DCUN1D2,44,0,1,1,0,4,40
ZBTB3,IKZF3,14,0,0,1,0,0,14
SLC35A5,GPI,13,1,0,0,13,0,0
HELZ,ATG16L2,22,1,1,0,21,1,0
NDE1,CENPI,13,0,1,0,0,13,0
PTPRJ,OPHN1,109,1,1,1,76,11,22
TRMT9B,GLIPR1L2,49,0,1,1,0,5,35
UPF3A,GPATCH8,16,1,0,0,16,0,0
VWA7,NCBP1,45,0,0,1,0,0,45
ZFP28,EIF4E,20,1,1,0,17,3,0
ZDHHC9,TSPAN6,18,1,1,0,17,1,0
MAPK1IP1L,ABCA1,19,1,0,0,19,0,0
TADA2B,PIK3C2B,35,1,1,0,33,2,0
ZNF496,FAM106A,25,0,1,0,0,25,0
SOGA3,BLOC1S2,21,0,0,1,0,0,21
ZNF805,ATXN3,31,1,1,0,27,4,0
ADGRA3,ADARB1,15,1,1,0,9,6,0
ZSCAN22,MTFMT,18,1,0,0,18,0,0
YAF2,RAPH1,19,0,1,0,0,19,0
ZNF273,PPP6R3,18,1,1,1,3,3,12
RNASEH1,CYP2C19,20,1,1,0,1,19,0
NDUFAF7,ANGEL2,72,1,0,0,72,0,0
TCP11L1,NUAK2,43,1,1,0,40,3,0
MID2,CLEC19A,21,0,1,0,0,21,0
VSIG10,CHP1,25,1,0,0,25,0,0
YAF2,RBM3,16,1,1,0,2,14,0
GCLM,AP3S2,30,0,1,1,0,1,29
WDFY2,GEN1,15,0,0,1,0,0,15
PDE6A,BRIP1,27,0,1,0,0,27,0
USP45,GTF2E1,34,0,1,0,0,34,0
ZNF445,TM7SF3,30,1,1,0,29,1,0
USP54,RNF227,44,0,1,0,0,44,0
IFNLR1,ARSA,30,0,1,1,0,1,29
RBMS2,NWD1,66,0,1,1,0,1,65
TLCD2,PSPH,13,0,1,1,0,5,8
LLGL1,ATP9B,24,1,0,0,24,0,0
RNF216,MTHFR,17,0,0,1,0,0,17
ZSCAN20,IL17RD,26,1,0,0,26,0,0
BRIP1,ABL2,23,1,1,1,13,1,9
TTC22,NEK10,42,1,0,1,1,0,41
TUBGCP4,TSPYL1,13,1,0,0,13,0,0
SLC1A5,CORO2A,16,0,0,1,0,0,16
GNG8,ANKRD10,13,0,0,1,0,0,13
FBXL4,FBXL20,23,0,1,0,0,23,0
WWC3,MDM4,15,1,0,0,15,0,0
IL1R1,IAPP,42,0,1,0,0,42,0
ZKSCAN3,GGA2,35,0,1,0,0,35,0
UPK1B,RUBCN,33,0,1,1,0,31,2
SLC16A7,LOC100130451,31,1,0,0,31,0,0
PPP1R12B,FAM122C,22,0,1,1,0,2,20
PLEKHA7,GABRA5,17,1,0,0,17,0,0
SLC20A2,AVL9,29,1,0,0,29,0,0
TMEM268,SLC43A3,16,1,1,1,6,9,1
CASTOR2,AFAP1L1,30,1,0,0,30,0,0
ZNF827,RARS2,61,0,0,1,0,0,61
PDSS2,KLHL24,18,1,0,0,18,0,0
POU2AF1,POFUT1,14,1,0,1,1,0,13
ZNF454,HAAO,14,0,1,1,0,12,2
ZNF426,ABL2,62,1,1,1,11,25,26
RASAL2,LPAR6,94,1,1,1,33,40,21
CFLAR,CEP112,44,1,0,0,43,0,0
PCDHB9,NME6,53,0,1,0,0,53,0
WDSUB1,COA1,16,0,0,1,0,0,16
SHROOM1,RAB27A,27,1,1,1,3,1,23
ZNF264,DIS3,24,1,1,0,23,1,0
GOLGA2,CNKSR2,13,1,0,0,13,0,0
ZNF34,TCP11L1,39,1,0,1,11,0,26
ZNF780B,ZNF155,14,1,0,0,14,0,0
NF2,CLK3,32,0,1,1,0,4,28
ZNF286A,NR3C1,18,0,0,1,0,0,18
TRIM52,GNE,43,1,1,0,1,42,0
UBE2Q2,LOC102723623,17,1,0,0,17,0,0
RFPL4A,DTNB,13,1,1,1,10,2,1
POGZ,PACS2,49,1,1,1,3,45,1
PLPP4,LILRB3,50,1,0,0,50,0,0
ZNF829,SLC11A2,25,1,0,0,25,0,0
SPATA5,ARIH2OS,19,0,0,1,0,0,19
ZNF536,TBXAS1,13,1,0,0,13,0,0
LIFR,DIS3,21,1,0,0,21,0,0
TRAPPC2,SCAMP1,17,0,0,1,0,0,17
SNX1,BDH1,29,0,1,0,0,29,0
STXBP5L,ASTN2,694,1,1,1,270,201,223
SLC16A7,CSAD,22,1,0,0,22,0,0
SLC35A5,GABRA5,13,1,0,1,12,0,1
SEC14L5,LETMD1,15,1,0,0,15,0,0
PLEKHD1,LGALS1,13,0,1,0,0,13,0
CTSC,BACE2,24,0,1,0,0,24,0
GREB1,GJC1,104,0,1,1,0,103,1
SUGT1,DUSP28,13,0,0,1,0,0,13
IFNAR1,CAMK4,37,1,1,0,1,36,0
PARP15,CSRNP2,36,1,1,1,12,19,5
ZDHHC3,LOC107984562,115,1,0,0,115,0,0
UHRF1,TVP23A,15,0,1,0,0,15,0
RNF14,PEX13,13,0,1,1,0,4,9
RNF7,CHMP1B,15,0,1,1,0,14,1
PIGBOS1,AKIP1,35,1,0,1,34,0,1
PRKN,HELB,42,0,1,0,0,42,0
RBMS2,FABP3,17,0,1,1,0,1,16
ZNF37A,MAGT1,14,1,0,0,14,0,0
TTC39C,CCER2,26,1,1,0,25,1,0
UBE2D4,SPRED3,31,0,0,1,0,0,31
ZSCAN22,DPH5,64,0,1,1,0,29,34
TOR4A,RFC2,18,0,0,1,0,0,18
RBMS2,FBXL20,33,0,1,1,0,26,5
LGI1,EPB41,21,1,1,1,3,17,1
RBM34,GABRG3,17,0,1,0,0,17,0
STOX1,FBXW8,32,1,1,0,5,27,0
MFAP5,HEATR3,62,0,1,0,0,62,0
SGPP2,DGKH,66,1,0,0,66,0,0
ZNF850,DUSP18,31,1,0,1,1,0,30
XIAP,LOC107987397,60,1,1,1,40,17,3
PACS2,GPT2,42,0,0,1,0,0,42
SPTLC2,METTL6,27,0,1,1,0,1,26
SMYD3,PCDH11Y,35,1,1,1,15,15,5
IKZF3,CCDC138,23,1,1,0,3,20,0
GIN1,AP4S1,49,1,0,0,49,0,0
SENP5,CAMK1D,45,1,0,0,45,0,0
TRMT2B,COG6,60,0,1,0,0,60,0
SCAI,RBM28,21,1,1,1,6,3,12
SPRED3,LRPAP1,16,1,1,0,15,1,0
MPPE1,KCNJ5,14,0,1,0,0,14,0
PANK2,KCNE3,19,1,0,0,19,0,0
GNE,EPGN,59,1,0,0,59,0,0
TESPA1,ODF2L,33,0,1,0,0,32,0
TDRD12,DGKH,42,0,1,1,0,1,41
ESYT2,CCDC142,18,1,0,0,18,0,0
MRO,KCNJ5,32,1,0,0,32,0,0
NIPAL2,ARHGAP45,16,1,0,0,16,0,0
RAB3B,CADM2,19,0,1,0,0,19,0
ZBTB8A,NUAK2,27,1,0,1,20,0,7
MCPH1,CDC40,17,0,1,0,0,17,0
SSR3,HYKK,19,1,0,0,19,0,0
LOC285500,GOLGA2,22,1,0,0,22,0,0
DSC1,C1orf52,15,0,1,0,0,15,0
RNF14,CD99,37,1,1,1,22,13,2
SPC24,MAP3K5,27,1,0,1,26,0,1
ZNF253,SNX1,16,1,1,0,1,15,0
ZNF865,EPHA6,15,0,1,1,0,1,14
FBLIM1,CAMKK2,34,1,1,0,33,1,0
POU5F1,PHACTR4,35,0,1,0,0,33,0
CFAP298,AKAP9,53,1,1,0,15,38,0
CELF3,ARCN1,17,0,1,0,0,17,0
TRIM16L,CCDC122,25,0,1,1,0,13,12
SCAI,DNPEP,18,1,0,1,2,0,16
PDLIM5,MARVELD2,55,0,1,0,0,55,0
ZKSCAN1,CMBL,13,1,1,0,3,10,0
SLFN13,MTSS1,13,0,1,0,0,13,0
TMEM181,MRTO4,26,1,0,0,26,0,0
TNFAIP8L3,AP3M1,28,0,0,1,0,0,28
TIE1,FAM118A,24,0,0,1,0,0,24
TAF8,FXN,20,1,1,0,6,14,0
PNPT1,ARPP19,18,0,0,1,0,0,18
RHOBTB3,NCAM2,15,0,0,1,0,0,15
BPNT1,ARHGAP1,47,1,0,1,1,0,46
SMIM17,CNTLN,18,1,0,0,18,0,0
VPS33A,MAST3,101,1,1,0,2,99,0
SGTB,RBMS2,54,1,1,0,52,2,0
ORC6,LILRA6,15,0,1,0,0,15,0
NPAT,MYL10,25,1,0,0,25,0,0
XPNPEP3,CNTLN,20,1,1,0,2,18,0
PARP15,DNPEP,53,0,0,1,0,0,53
RMDN1,C16orf72,38,1,1,0,37,1,0
SSBP2,CHP1,16,1,0,1,14,0,2
NAA16,FAM126B,35,0,0,1,0,0,35
SLC9A7,OR3A2,23,1,0,0,23,0,0
CYP4F3,CNBP,13,0,0,1,0,0,13
GABRG3,DDI2,13,0,1,0,0,13,0
TBXA2R,CEBPZOS,19,1,1,1,17,1,1
FLRT1,EPB41,102,0,0,1,0,0,101
RBMS2,LRRN4CL,33,0,1,1,0,1,32
ITPRIPL1,BCKDHB,17,1,0,0,17,0,0
GEMIN8,BMPR1A,18,1,1,0,13,5,0
UGGT1,RNF157,26,0,1,0,0,26,0
ZYG11B,ARHGEF39,17,1,0,0,17,0,0
SHISA9,HS6ST3,391,1,1,1,148,110,133
ZNF347,CARF,101,1,1,1,1,99,1
PATJ,MTHFD1L,79,0,1,0,0,79,0
FNIP2,CPLANE1,115,1,1,1,43,52,20
BORCS5,BCAS1,41,1,1,1,2,1,38
LOC112268001,LOC101060022,15,1,1,1,6,8,1
ZNF616,HTRA4,27,1,1,1,13,12,2
SHROOM1,RUNX1,40,0,0,1,0,0,40
SLC43A2,C1QTNF6,178,0,1,1,0,171,7
CDCP1,CCAR1,18,1,0,0,18,0,0
NRIP3,APOL2,17,1,1,1,4,2,11
SLC26A5,FAM213A,15,1,1,0,2,13,0
RPS29,IRAK4,32,1,0,0,32,0,0
CHMP1B,BRIP1,13,1,1,1,6,3,4
CRAT,CNR2,58,1,0,1,23,0,35
RABL3,C16orf72,13,0,1,0,0,13,0
DCX,CRIP3,35,0,1,0,0,35,0
OPRM1,ANKRD42,53,0,1,1,0,40,13
MARCH10,BMPR1A,29,0,0,1,0,0,29
CRB2,ADAMTS17,158,0,0,1,0,0,158
ZNF780B,CCDC144A,44,1,0,0,44,0,0
ZNF527,ZNF445,39,1,0,1,1,0,38
TMEM236,MBNL1,18,1,0,1,7,0,11
SPDYE17,METTL21A,15,1,0,1,1,0,14
PPM1K,ARMC9,17,1,0,1,9,0,8
GPR82,GATD1,17,1,1,0,14,3,0
